Diluent,viscosity coefficient,dielectric constant,molecular weight,dipole moment,HOMO energy,LUMO energy,HOMO/LUMO gap
FBn,0.55,5.42,96.104,1.6,-9.07,-0.43,8.64
dFBn,1.13,13.8,144.094,2.58,-9.23,-0.33,8.9
tFBn,0.71,5.69,132.086,0,-9.46,-0.21,9.25
hFBn,1.12,2.05,186.056,0,-9.89,-0.78,9.11
