,poly2,poly3,RF,SVR,GPR
FBn,0.8370055787217677,0.9877262372580865,0.9689257352793279,0.9705656209060749,0.818167680223377
dFBn,0.8425292069755752,0.9878423690475137,0.9587968178075175,0.9743116858440306,0.7975215845636894
tFBn,0.8506848810886376,0.9973457430045903,0.974216049652225,0.9774657904117712,0.8630488399433633
hFBn,0.8300497564925973,0.9582775582941712,0.8641356059201015,0.8834596995745807,0.9016106762893392
