,poly2,poly3,RF,SVR,GPR
FBn,0.5263212818687042,0.14442867364009368,0.22980791979390208,0.223661895145524,0.5559043861379993
dFBn,0.539572450670773,0.14992506239715742,0.2760038496108344,0.21793027259693606,0.6118417760203785
tFBn,0.814918505559276,0.10865101134315729,0.33863903348550917,0.3165799837838069,0.7804501088397374
hFBn,0.16748478970932237,0.0829849496785266,0.1497501633674278,0.13869236164470258,0.12743492403886
