vol%,FBn,dFBn,tFBn,hFBn
0,3.23,3.23,3.23,3.23
10,3.38,3.52,3.1,3.58
20,3.48,3.97,3.46,3.6
25,4.05,4.42,4.17,3.72
30,4.60 ,4.70 ,4.72,3.78
33,4.78,5.20 ,5.3,3.55
40,5.52,5.78,6.1,3.46
45,5.65,6.15,6.78,3.33
50,6.13,6.55,7.47,3.06
55,6.35,6.85,8.05,3.04
60,6.75,7.28,8.35,2.95
67,6.88,7.00,8.65,2.68
70,6.71,7.02,8.91,2.58
75,6.58,6.75,8.62,2.54
