Feature,mean,std,min,max,ci95_low,ci95_high
molecular weight,0.2604188789717025,0.1587050437181166,0.026858596752087276,0.36400740428103345,0.10488793612794825,0.4159498218154568
viscosity coefficient,0.13940021250810888,0.16166094106373344,0.0373447404967414,0.3771700511376063,-0.019027509734349884,0.2978279347505677
LUMO energy,0.13493439027418694,0.07988869553958754,0.05279285377926297,0.24392775777313444,0.05664346864539116,0.21322531190298272
HOMO/LUMO gap,0.12553130876686838,0.1099691695342419,0.033655250651968845,0.26348665604988736,0.01776152262331132,0.23330109491042544
HOMO energy,0.08056081438230143,0.039086351968934716,0.04582150156299273,0.13512135462628472,0.04225618945274542,0.11886543931185745
dielectric constant,0.07925306281281842,0.06720376279121232,0.016467255850632984,0.16148636283146012,0.013393375277430355,0.14511275034820648
dipole moment,0.0455714019222392,0.03653223581678886,0.008015666570928361,0.09003966798384984,0.009769810821786115,0.08137299302269228
