Feature,Permutation Importance Mean,Permutation Importance Std
LUMO energy,0.22721515988235655,0.1251835270207014
HOMO energy,0.17568102203760902,0.09779229592145393
HOMO/LUMO gap,0.02990330856228943,0.025110771529313052
dielectric constant,0.12118891567779563,0.07357074108531542
molecular weight,0.10319743173009562,0.06205763043702194
viscosity coefficient,0.02345335263992065,0.017656960827903582
dipole moment,0.010465318592464017,0.010019550483040323
