Feature,Mean Absolute SHAP
LUMO energy,0.258273794548586
HOMO energy,0.21447717025876045
dielectric constant,0.17722805961966515
molecular weight,0.1535110817058012
HOMO/LUMO gap,0.10973785468377173
viscosity coefficient,0.04778005962725729
dipole moment,0.01648774486966431
