Feature,Importance
LUMO energy,0.25518581277174573
HOMO energy,0.20270919995662717
HOMO/LUMO gap,0.1239021459977013
dielectric constant,0.1307979982670644
molecular weight,0.1364971298244292
viscosity coefficient,0.054155891326858906
dipole moment,0.09675182185557335
