Diluent,a (x^2),b (x),c (const),Optimal Content,Optimal Ionic Conductivity,R2_LOOCV,RMSE_LOOCV
FBn,-0.0001652420458570364,0.07001376861398466,2.7560255782758905,75.0,7.07757171637891,0.8370055787217677,0.5263212818687042
dFBn,-0.0003846629930041312,0.08918715313829305,2.754933934126542,75.0,7.280241083850283,0.8425292069755752,0.539572450670773
tFBn,0.00010243491162607865,0.08490339600944564,2.4645032223808188,75.0,9.408454300985934,0.8506848810886376,0.814918505559276
hFBn,-0.00045023639223156636,0.020522748905422068,3.3642289252986792,22.613065326633166,3.5980824820804838,0.8300497564925973,0.16748478970932237
